DDI,no.,FisherMode,method,isTest,accuracy,precision,recall
Alpha-amylase_int_CBM_48,1,FisherM1,SVM,True,0.76666666666666672,0.5168539325842697,0.52500000000000002
Alpha-amylase_int_CBM_48,1,FisherM1,SVM,False,0.49162011173184356,0.57768052516411383,0.56610800744878953
Alpha-amylase_int_CBM_48,1,FisherM1,DL,False,0.7630979498861048,0.83333333333333337,0.80093131548311991
Alpha-amylase_int_CBM_48,1,FisherM1,DL,True,0.51666666666666672,0.45588235294117646,0.45000000000000001
Alpha-amylase_int_CBM_48,1,FisherM1,DL_U,False,0.62186788154897499,0.65625,0.640279394644936
Alpha-amylase_int_CBM_48,1,FisherM1,DL_U,True,0.51666666666666672,0.43055555555555558,0.41666666666666669
Alpha-amylase_int_CBM_48,2,FisherM1,SVM,True,0.48780487804878048,0.46511627906976738,0.46341463414634149
Alpha-amylase_int_CBM_48,2,FisherM1,SVM,False,0.45432692307692307,0.60383386581469645,0.578125
Alpha-amylase_int_CBM_48,2,FisherM1,DL,False,0.74556213017751483,0.80254777070063699,0.77744360902255638
Alpha-amylase_int_CBM_48,2,FisherM1,DL,True,0.68292682926829273,0.5714285714285714,0.58536585365853655
Alpha-amylase_int_CBM_48,2,FisherM1,DL_U,False,0.7248520710059172,0.83904109589041098,0.78947368421052633
Alpha-amylase_int_CBM_48,2,FisherM1,DL_U,True,0.6097560975609756,0.53191489361702127,0.53658536585365857
Alpha-amylase_int_CBM_48,3,FisherM1,SVM,True,0.40000000000000002,0.5714285714285714,0.55000000000000004
Alpha-amylase_int_CBM_48,3,FisherM1,SVM,False,0.48522167487684731,0.56936416184971095,0.55911330049261088
Alpha-amylase_int_CBM_48,3,FisherM1,DL,False,0.70948012232415902,0.70948012232415902,0.70724191063174113
Alpha-amylase_int_CBM_48,3,FisherM1,DL,True,0.40000000000000002,0.40000000000000002,0.40000000000000002
Alpha-amylase_int_CBM_48,3,FisherM1,DL_U,False,0.81039755351681952,0.69190600522193213,0.72265023112480742
Alpha-amylase_int_CBM_48,3,FisherM1,DL_U,True,0.40000000000000002,0.40000000000000002,0.40000000000000002
Alpha-amylase_int_CBM_48,4,FisherM1,SVM,True,0.68292682926829273,0.49122807017543862,0.48780487804878048
Alpha-amylase_int_CBM_48,4,FisherM1,SVM,False,0.3784355179704017,0.54573170731707321,0.53171247357293872
Alpha-amylase_int_CBM_48,4,FisherM1,DL,False,0.94680851063829785,0.65441176470588236,0.72486772486772488
Alpha-amylase_int_CBM_48,4,FisherM1,DL,True,0.85365853658536583,0.53846153846153844,0.56097560975609762
Alpha-amylase_int_CBM_48,4,FisherM1,DL_U,False,0.94680851063829785,0.64492753623188404,0.7142857142857143
Alpha-amylase_int_CBM_48,4,FisherM1,DL_U,True,0.82926829268292679,0.52307692307692311,0.53658536585365857
Alpha-amylase_int_CBM_48,5,FisherM1,SVM,True,0.45454545454545453,0.5,0.5
Alpha-amylase_int_CBM_48,5,FisherM1,SVM,False,0.51237623762376239,0.56557377049180324,0.55940594059405946
Alpha-amylase_int_CBM_48,5,FisherM1,DL,False,0.85093167701863359,0.68159203980099503,0.72755417956656343
Alpha-amylase_int_CBM_48,5,FisherM1,DL,True,0.54545454545454541,0.46153846153846162,0.45454545454545453
Alpha-amylase_int_CBM_48,5,FisherM1,DL_U,False,0.79503105590062106,0.67368421052631577,0.70588235294117652
Alpha-amylase_int_CBM_48,5,FisherM1,DL_U,True,0.45454545454545453,0.5,0.5
Alpha-amylase_int_CBM_48,6,FisherM1,SVM,True,0.6333333333333333,0.48717948717948717,0.48333333333333334
Alpha-amylase_int_CBM_48,6,FisherM1,SVM,False,0.61790393013100442,0.57287449392712553,0.57860262008733621
Alpha-amylase_int_CBM_48,6,FisherM1,DL,False,0.63287671232876708,0.84926470588235303,0.76092896174863389
Alpha-amylase_int_CBM_48,6,FisherM1,DL,True,0.29999999999999999,0.45000000000000001,0.46666666666666667
Alpha-amylase_int_CBM_48,6,FisherM1,DL_U,False,0.67945205479452053,0.83501683501683488,0.77322404371584696
Alpha-amylase_int_CBM_48,6,FisherM1,DL_U,True,0.43333333333333335,0.4642857142857143,0.46666666666666667
Alpha-amylase_int_CBM_48,7,FisherM1,SVM,True,0.25806451612903225,0.47058823529411764,0.4838709677419355
Alpha-amylase_int_CBM_48,7,FisherM1,SVM,False,0.47368421052631576,0.57777777777777772,0.56376518218623484
Alpha-amylase_int_CBM_48,7,FisherM1,DL,False,0.89408866995073888,0.77398720682302768,0.81139240506329113
Alpha-amylase_int_CBM_48,7,FisherM1,DL,True,0.67741935483870963,0.61764705882352944,0.62903225806451613
Alpha-amylase_int_CBM_48,7,FisherM1,DL_U,False,0.84482758620689657,0.79032258064516125,0.80506329113924047
Alpha-amylase_int_CBM_48,7,FisherM1,DL_U,True,0.5161290322580645,0.69565217391304346,0.64516129032258063
Alpha-amylase_int_CBM_48,8,FisherM1,SVM,True,0.44827586206896552,0.56521739130434778,0.55172413793103448
Alpha-amylase_int_CBM_48,8,FisherM1,SVM,False,0.54523809523809519,0.59947643979057597,0.59047619047619049
Alpha-amylase_int_CBM_48,8,FisherM1,DL,False,0.93957703927492442,0.63211382113821135,0.7008928571428571
Alpha-amylase_int_CBM_48,8,FisherM1,DL,True,0.93103448275862066,0.52941176470588236,0.55172413793103448
Alpha-amylase_int_CBM_48,8,FisherM1,DL_U,False,0.8761329305135952,0.63876651982378851,0.69494047619047616
